frame_index,bag_timestamp_ns,map_stamp_ns,component_index,stable_key_x,stable_key_y,exact_columns,area,horizontal_span,representative_x,representative_y,representative_z,unknown_direction_x,unknown_direction_y,unknown_direction_z,information_gain,direction_consistency,direction_votes_pos_x,direction_votes_pos_y,direction_votes_neg_x,direction_votes_neg_y,xy_min_x,xy_min_y,xy_max_x,xy_max_y,rejection,columns_complete,edges_complete
3,1784164312999738429,1784164310186407576,89,16553,16362,2,0.080000006,0.316230625,34.000011444,-4.296971321,-2.239394426,-1.000000000,0.000000000,0.000000000,13.000000000,0.538461566,6,0,7,0,33.849998474,-4.349999905,34.150001526,-4.250000000,Columns,1,1
3,1784164312999738429,1784164310186407576,90,16554,16420,2,0.080000006,0.424263328,34.189609528,7.208333969,-1.838541031,-1.000000000,0.000000000,0.000000000,20.000000000,1.000000000,0,0,20,0,34.049999237,7.050000191,34.349998474,7.349999905,Columns,1,1
3,1784164312999738429,1784164310186407576,91,16555,16364,6,0.240000010,1.140176535,34.648239136,-4.024559021,-1.795176506,-1.000000000,0.000000000,0.000000000,44.000000000,0.590909064,18,0,26,0,34.250000000,-4.349999905,35.150001526,-3.650000095,Columns,1,1
3,1784164312999738429,1784164310186407576,92,16555,16380,1,0.040000003,0.141420290,34.303565979,-0.710714221,-1.892856956,1.000000000,0.000000000,0.000000000,5.000000000,1.000000000,5,0,0,0,34.250000000,-0.750000000,34.349998474,-0.649999976,Columns,1,1
3,1784164312999738429,1784164310186407576,93,16555,16410,2,0.080000006,0.424263656,34.391662598,5.395833492,-1.362499833,1.000000000,0.000000000,0.000000000,11.000000000,1.000000000,11,0,0,0,34.250000000,5.250000000,34.549999237,5.550000191,Columns,1,1
3,1784164312999738429,1784164310186407576,94,16556,16373,6,0.240000010,1.029562831,34.764282227,-1.906897545,-1.717673063,1.000000000,0.000000000,0.000000000,45.000000000,1.000000000,45,0,0,0,34.450000763,-2.349999905,34.950000763,-1.450000048,Columns,1,1
3,1784164312999738429,1784164310186407576,95,16558,16359,1,0.040000003,0.141422912,34.907894135,-4.913156986,-2.218420982,-1.000000000,0.000000000,0.000000000,6.000000000,1.000000000,0,0,6,0,34.849998474,-4.949999809,34.950000763,-4.849999905,Columns,1,1
3,1784164312999738429,1784164310186407576,96,16558,16370,3,0.120000005,0.583096743,35.018955231,-2.517242670,-2.106034517,1.000000000,0.000000000,0.000000000,21.000000000,0.761904776,16,0,5,0,34.849998474,-2.750000000,35.150001526,-2.250000000,Columns,1,1
3,1784164312999738429,1784164310186407576,97,16558,16431,1,0.040000003,0.141423240,34.888893127,9.494443893,-1.772222400,1.000000000,0.000000000,0.000000000,7.000000000,1.000000000,7,0,0,0,34.849998474,9.449999809,34.950000763,9.550000191,Columns,1,1
3,1784164312999738429,1784164310186407576,98,16560,16361,1,0.040000003,0.141420543,35.291927338,-4.491934776,-2.140322447,1.000000000,0.000000000,0.000000000,7.000000000,1.000000000,7,0,0,0,35.250000000,-4.550000191,35.349998474,-4.449999809,Columns,1,1
